id,name,type,latitude,longitude
1087086179,Afrodic,bar,-19.9375182,-43.9323271
1087086197,Sallute,restaurant,-19.9378998,-43.9315495
1087412350,Maria das Tranças,restaurant,-19.9347948,-43.9306301
1097287151,Gosto de Casa,restaurant,-19.9327188,-43.9580602
1097319879,Nome não disponível,supermarket,-19.9310469,-43.9592992
1097319885,Cantinho de Minas,restaurant,-19.9312861,-43.9593752
1097446501,Entre Sabores,restaurant,-19.9656396,-43.9545393
1098362464,Chalé Grill,restaurant,-19.9606531,-43.9570124
1099439432,Bar do Doca,bar,-19.9371118,-43.9593152
1111816160,Bistrô,restaurant,-19.8675387,-43.9798655
1111816237,Nome não disponível,restaurant,-19.8716424,-43.9800952
1120711861,Pizzarella,restaurant,-19.9547779,-43.9504435
1123482282,Nome não disponível,supermarket,-20.0001556,-43.9699421
1123482327,Oratório,bar,-19.924401,-43.9217621
1124224396,Feira Tom Jobim (Itinerante),restaurant,-19.9279116,-43.9285361
1139177998,Tudo na Brasa,bar,-19.8885279,-44.0021977
1139194463,Cantina Macarrão do Cabral,restaurant,-19.8848185,-44.0066475
1181074589,Rancho Fundo;Loteria,restaurant,-19.967364,-43.9630417
1183085991,Parada Carioca,bar,-19.9747705,-43.9416915
1183085995,Swingers,bar,-19.9708127,-43.9515462
1183086000,Utópica,bar,-19.9721791,-43.9494648
1184587701,Sarracino,restaurant,-19.9431695,-43.9233746
1231573288,Eddie Fine Burguer,restaurant,-19.9382409,-43.9412824
1231573290,Ah bom!,restaurant,-19.9380136,-43.9421366
1233658186,Restaurante Dona Naná,restaurant,-19.9389976,-44.0248792
1234188643,Nino Pizzaria,restaurant,-19.9187593,-43.9769605
1234188649,Nome não disponível,restaurant,-19.914148,-43.9766822
1234189621,Epa Supermercados,supermarket,-19.9148021,-43.9748154
1234307389,Tonel de Pinga,bar,-19.9275036,-43.9352378
1235362901,Köbes,restaurant,-19.9104906,-43.9160165
1239297615,Bartiquim,restaurant,-19.9117717,-43.9112904
1239327045,Estação Parada do Cardoso,restaurant,-19.9158524,-43.9105711
1239327057,La Crepe,restaurant,-19.9170326,-43.9132158
1239327063,Baianeira,restaurant,-19.915679,-43.9138857
1239327070,Oton Pizzería,restaurant,-19.9150505,-43.9137377
1239338296,Bar do 1000Tom,restaurant,-19.9170377,-43.9145408
1239338304,Pizzaría Felinos,restaurant,-19.9167754,-43.9166115
1239338311,Bar Charlotte,bar,-19.9170932,-43.915147
1239355876,Chef Tulio Internacional Butiquim,restaurant,-19.9116653,-43.9183073
1240827749,Bar Temático,restaurant,-19.9116936,-43.9111161
1240863817,Mixido,restaurant,-19.9395406,-43.9311378
1240914399,Bar Tudo Legal,bar,-19.936758,-43.9454952
1240916124,Bar Altas Horas,bar,-19.9360012,-43.9454534
1240953189,Lafa,bar,-19.9397634,-43.9414469
1240959732,Jin Lon,restaurant,-19.9402186,-43.9387351
1241006324,Galeto Itália,restaurant,-19.9393461,-43.9370755
1241994032,Piu Pizza e Birra,restaurant,-19.9317178,-43.9449568
